feature,importance
serum_albumin_level,995
sodium_level_(meq/l),934
c-reactive_protein_(crp)_level,872
cystatin_c_level,868
white_blood_cell_count_(cells/cumm),860
serum_creatinine_(mg/dl),820
blood_pressure_(mm/hg),809
urine_protein-to-creatinine_ratio,798
estimated_glomerular_filtration_rate_(egfr),789
urine_output_(ml/day),772
interleukin-6_(il-6)_level,770
cholesterol_level,763
parathyroid_hormone_(pth)_level,761
potassium_level_(meq/l),744
serum_calcium_level,728
random_blood_glucose_level_(mg/dl),728
blood_urea_(mg/dl),664
serum_phosphate_level,657
packed_cell_volume_(%),635
body_mass_index_(bmi),625
age_of_the_patient,603
hemoglobin_level_(gms),524
red_blood_cell_count_(millions/cumm),475
specific_gravity_of_urine,471
duration_of_diabetes_mellitus_(years),410
duration_of_hypertension_(years),363
sugar_in_urine,247
albumin_in_urine,177
red_blood_cells_in_urine,115
physical_activity_level,111
urinary_sediment_microscopy_results,90
hypertension_(yes/no),75
anemia_(yes/no),59
family_history_of_chronic_kidney_disease,54
pus_cells_in_urine,50
appetite_(good/poor),48
diabetes_mellitus_(yes/no),42
coronary_artery_disease_(yes/no),39
pedal_edema_(yes/no),32
bacteria_in_urine,31
pus_cell_clumps_in_urine,30
smoking_status,29
