feature,importance
hypertension_(yes/no),0.02780945
pus_cell_clumps_in_urine,0.027623832
appetite_(good/poor),0.02701027
smoking_status,0.026260057
anemia_(yes/no),0.025932118
bacteria_in_urine,0.025906034
pedal_edema_(yes/no),0.025796635
family_history_of_chronic_kidney_disease,0.024813525
urinary_sediment_microscopy_results,0.024792746
sugar_in_urine,0.024587318
potassium_level_(meq/l),0.024427483
albumin_in_urine,0.024255047
coronary_artery_disease_(yes/no),0.024193741
estimated_glomerular_filtration_rate_(egfr),0.024132852
specific_gravity_of_urine,0.024114082
serum_phosphate_level,0.024047377
blood_pressure_(mm/hg),0.023974253
duration_of_diabetes_mellitus_(years),0.023860103
parathyroid_hormone_(pth)_level,0.023826439
urine_protein-to-creatinine_ratio,0.023694051
duration_of_hypertension_(years),0.023666952
packed_cell_volume_(%),0.023530846
interleukin-6_(il-6)_level,0.023474308
hemoglobin_level_(gms),0.023430245
random_blood_glucose_level_(mg/dl),0.023403581
red_blood_cells_in_urine,0.023320744
cholesterol_level,0.023235427
cystatin_c_level,0.023176543
age_of_the_patient,0.023164753
physical_activity_level,0.023117177
white_blood_cell_count_(cells/cumm),0.022806678
urine_output_(ml/day),0.022714447
serum_calcium_level,0.022645883
blood_urea_(mg/dl),0.022618236
body_mass_index_(bmi),0.02260365
sodium_level_(meq/l),0.02257765
c-reactive_protein_(crp)_level,0.022556806
serum_albumin_level,0.022538578
red_blood_cell_count_(millions/cumm),0.02219197
pus_cells_in_urine,0.021616936
serum_creatinine_(mg/dl),0.021554152
diabetes_mellitus_(yes/no),0.018996991
